NOME,TIPO
AHMEDKHALFANGHAILANI,F
ISNILONTOTONIHAPILON,F
RAEDMUHAMMAD HASANMUHAMMAD,F
DAWOODIBRAHIMKASKAR,F
MOSTAFAKAMELMOSTAFA,F
MEHDIBEN MOHAMEDBEN MOHAMED,F
OMARMAHMOUDUTHMAN,F
DJAMELMOUSTFA,F
ABDELKADERLAAGOUB,F
DJAMELLOUNICI,F
ARISMUNANDAR,F
ALISAYYIDMUHAMED,F
ABURUSDAN,F
MOHAMMEDSALAHALDINABD EL HALIM,F
PARLINDUNGANSIREGAR,F
YASSINSYAWAL,F
ISAMALIMOHAMED,F
ABDUL HAKIMMURAD,F
ABDELHALIMHAFEDABDELFATTAH,F
RADULANSAHIRON,F
ABDUL RAHMANYASIN,F
TAUFIKRIFKI,F
AL-AZHARBEN KHALIFABEN AHMED,F
YAZIDSUFAAT,F
MOHAMMEDTUFAIL,F
YUNOSUMPARAMOKLIS,F
ARISSUMARSONO,F
ABDUL RAZAQAKHUNDLALA AKHUND,F
MERAIABDEFATTAHKHALIL,F
NESSIMBEN ROMDHANESAHRAOUI,F
MOHAMMEDAL GHABRA,F
NAJMUDDINFARAJAHMAD,F
ABDELMALEKDROUKDEL,F
SIRAJUDDINJALLALOUDINEHAQQANI,F
SALEMNOR ELDINAMOHAMED,F
ALYSOLIMANMASSOUD,F
MUBARAKMUSHAKHASSANAD,F
HAMIDABDALLAHAHMAD,F
JABERABDALLAHJABER,F
DINNO AMORROSALEJOSPAREJA,F
REDENDOCAINDELLOSA,F
FELICIANOSEMBORIODELOS REYES JR.,F
HILARIONDEL ROSARIOSANTOS,F
PIOABOGNEDE VERA,F
"RUBENPESTANOLAVILLA, JR",F
RICARDOPEREZAYERAS,F
ANGELORAMIREZTRINIDAD,F
AHMEDDEGHDEGH,F
YAHIADJOUADI,F
AMORMOHAMEDGHEDEIR,F
REDOUANEEL HABHAB,F
ZAKI-UR-REHMANLAKHVI,F
HAJIMUHAMMADASHRAF,F
MAHMOUDMOHAMMADAHMED,F
ABDULHAQ,F
ARIFQASMANI,F
FAZEEL-A-TULSHAYKH ABU MOHAMMEDAMEEN,F
MOHAMMEDYAHYAMUJAHID,F
AKRAMTURKIHISHAN,F
GHAZYFEZZAHISHAN,F
MUTHANNAHARITHAL-DARI,F
QASIMMOHAMEDMAHDI,F
GULAGHAISHAKZAI,F
AMIRABDULLAH,F
ANWARNASSERABDULLA,F
NASIRUDDINHAQQANI,F
SALEHMOHAMMADKAKAR,F
ABDUL HABIBALIZAI,F
KHALILAHMEDHAQQANI,F
DOKUKHAMATOVICHUMAROV,F
IBRAHIMHASSANTALI,F
OTHMANAHMEDOTHMAN,F
ABDUL RAHIMBA'AYSIR,F
UMARPATEK,F
MUHAMMADJIBRILABDUL RAHMAN,F
MATI UR-REHMANALI MUHAMMAD,F
FAIZULLAHKHANNOORZAI,F
IBRAHIMAWWADIBRAHIM,F
MALIKNOORZAI,F
ABDUL AZIZABBASIN,F
FAZLRABI,F
AHMED JANWAZIRAKHTAR MOHAMMAD,F
YASSINCHOUKA,F
AHMADZIAAGHA,F
MOHAMMADAMANAKHUND,F
MONIRCHOUKA,F
ABDUL SAMADACHEKZAI,F
ABDULROSYIDRIDHO,F
ABDUR REHMAN,F
MUSTAFAHAJJIMUHAMMAD,F
FAZALRAHIM,F
MOCHAMMADACHWAN,F
ZAFARIQBAL,F
BAKHTGUL,F
ABDUL SATARABDUL MANAN,F
KHAIRULLAHBARAKZAIKHUDAI NAZAR,F
AYYUBBASHIR,F
AAMIRALICHAUDHRY,F
MOHAMMED QASIMMIR WALIKHUDAI RAHIM,F
ABDUL RAUFZAKIR,F
DJAMELAKKACHA,F
ABDERRAHMANEOULD EL AMAR,F
HAMADAOULD MOHAMED EL KHAIRY,F
AHMED SHAHNOORZAIOBAIDULLAH,F
ADAM KHANACHEKZAI,F
MOHAMEDLAHBOUS,F
MUHAMMADJAMALABD-AL RAHIM AHMAD,F
ABD-AL-HAMIDAL-MASLI,F
QARISAIFULLAHTOKHI,F
ABDUL GHAFARQURISHIABDUL GHANI,F
FRANÇOISYANGOUVONDABOZIZÉ,F
NOURREDINEADAM,F
ABDULQADERMOHAMMEDAL-BAGHDADI,F
ABDULQADERYUSEFDIBRI,F
YUNHO-JIN,F
QURENSALIHQUREN,F
AMIDHUSAINAL KUNI,F
ABUZAYDUMAR,F
HWANGSOK-HWA,F
RIHONG-SOP,F
HANYU-RO,F
CHANGMYONG-CHIN,F
RAKY'ONG-SU,F
KIMKWANG-IL,F
YO'NCHO'NG NAM,F
PAEKCHANG-HO,F
ABUBAKRYUNIS,F
KOCH'O'L-CHAE,F
MUNCHO'NG-CH'O'L,F
MATUQMOHAMMEDMATUQ,F
HANNIBALMUAMMARQADHAFI,F
KHAMISMUAMMARQADHAFI,F
MOHAMMEDMUAMMARQADHAFI,F
MUAMMARMOHAMMEDABU MINYAR,F
MUTASSIMQADHAFI,F
SAIF AL-ARABQADHAFI,F
SAIF AL-ISLAMQADHAFI,F
ABDULLAHAL-SENUSSI,F
SAFIAFARKASHAL-BARASSI,F
ABDELHAFIZZLITNI,F
GAFFARMOHAMMEDELHASSAN,F
MUSAHILALABDALLA,F
JIBRILABDULKARIMIBRAHIM,F
IBRAIMACAMARÁ,F
CRANHADANFA,F
IDRISSADJALÓ,F
ANTÓNIOINJAI,F
TCHIPANA BIDON,F
TCHAMNA MAN,F
ESTÊVÃONA MENA,F
DABANAUALNA,F
JÚLIONHATE,F
MAMADUTURE,F
ERICBADEGE,F
FRANK KAKOLELEBWAMBALE,F
GASTONIYAMUREMYE,F
INNOCENTKAINA,F
JÉRÔMEKAKWAVU BUKANDE,F
GERMAINKATANGA,F
SULTANIMAKENGA,F
KHAWA PANGAMANDRO,F
CALLIXTEMBARUSHIMANA,F
IRUTA DOUGLASMPAMO,F
SYLVESTREMUDACUMURA,F
LEODOMIRMUGARAGU,F
JAMILMUKULU,F
LEOPOLDMUJYAMBERE,F
IGNACEMURWANASHYAKA,F
STRATONMUSONI,F
JULESMUTEBUTSI,F
BAUDOINNGARUYE WA MYAMURO,F
"MATHIEU, CHUINGUDJOLO",F
FLORIBERT NGABUNJABU,F
LAURENTNKUNDA,F
FELICIENNSANZUBUKIRE,F
PACIFIQUENTAWUNGUKA,F
JAMESNYAKUNI,F
STANISLASNZEYIMANA,F
DIEUDONNÉOZIA MAZIO,F
JEAN-MARIE LUGERERORUNIGA,F
NTABO NTABERISHEKA,F
BOSCOTAGANDA,F
INNOCENTZIMURINDA,F
THOMASLUBANGA,F
YASINALIBAYNAH,F
HASSANDAHIRAWEYS,F
HASSANABDULLAHHERSI,F
AHMEDABDIAW-MOHAMED,F
FUADMOHAMEDKHALAF,F
BASHIRMOHAMEDMAHAMOUD,F
FARESMOHAMMEDMANA'A,F
HASSANMAHATOMAR,F
OMARHAMMAMI,F
ABOUDROGOMOHAMMED,F
ABUBAKERSHARIFFAHMED,F
RIJE-SON,F
SADDAMHUSSEINAL-TIKRITI,F
QUSAYSADDAMHUSSEIN,F
UDAYSADDAMHUSSEIN,F
ABIDHAMIDMAHMUD,F
ALIHASSANAL-MAJID,F
IZZATIBRAHIMAL-DURI,F
HANIABD-AL-LATIFTILFAH,F
MUHAMMADHAMZAZUBAIDI,F
BARZANABD AL-GHAFURSULAIMAN MAJID,F
MUZAHIMSA'BHASSAN,F
